date,state,commodity,price,prediction
2025-01-15,Adamawa,Rice (local),3883.335,2366.6978
2025-01-15,Adamawa,Yam,2833.33,2477.5452
2025-01-15,Borno,Beans (red),3798.262142857143,2093.7397
2025-01-15,Borno,Oranges,514.8846666666667,702.3703
2025-01-15,Borno,Rice (local),4230.942666666667,2611.4119
2025-01-15,Borno,Tomatoes,222.47866666666667,334.0683
2025-01-15,Borno,Yam,3576.4121428571425,2862.5298
2025-01-15,Yobe,Beans (red),3065.3866666666668,1982.8105
2025-01-15,Yobe,Oranges,403.205,452.99847
2025-01-15,Yobe,Rice (local),3846.555,2364.2847
2025-01-15,Yobe,Tomatoes,235.5775,398.17822
2025-01-15,Yobe,Yam,3462.0885714285714,2890.8455
2025-02-15,Borno,Beans (red),3830.634285714285,1867.3784
2025-02-15,Borno,Oranges,410.2166666666667,512.37775
2025-02-15,Borno,Rice (local),4171.606,2393.3613
2025-02-15,Borno,Tomatoes,208.06875,267.57092
2025-02-15,Borno,Yam,3198.059,2880.8264
2025-02-15,Yobe,Beans (red),3316.5,1792.7749
2025-02-15,Yobe,Oranges,429.7616666666667,564.50323
2025-02-15,Yobe,Rice (local),3740.76,2087.8755
2025-02-15,Yobe,Tomatoes,214.2983333333333,291.51498
2025-02-15,Yobe,Yam,3338.433333333333,2893.9492
2025-03-15,Borno,Beans (red),3483.62125,1940.8561
2025-03-15,Borno,Oranges,312.5,439.5234
2025-03-15,Borno,Rice (local),4006.61375,2386.2776
2025-03-15,Borno,Tomatoes,271.2366666666667,411.2311
2025-03-15,Borno,Yam,3012.97125,2781.817
2025-03-15,Yobe,Beans (red),2691.213333333333,1787.5585
2025-03-15,Yobe,Oranges,499.1925,605.1472
2025-03-15,Yobe,Rice (local),3750.0,2096.3562
2025-03-15,Yobe,Tomatoes,213.845,277.52008
2025-03-15,Yobe,Yam,3650.0,2867.898
2025-04-15,Borno,Beans (red),3166.145,1809.171
2025-04-15,Borno,Oranges,273.9109090909091,423.2591
2025-04-15,Borno,Rice (local),4063.3184615384616,2379.3127
2025-04-15,Borno,Tomatoes,224.38857142857145,329.10007
2025-04-15,Borno,Yam,3117.395,2840.5908
2025-04-15,Yobe,Beans (red),2649.645,1802.3549
2025-04-15,Yobe,Oranges,393.5175,536.5788
2025-04-15,Yobe,Rice (local),3450.0,1957.6383
2025-04-15,Yobe,Tomatoes,187.5,237.3638
2025-04-15,Yobe,Yam,2994.445,2701.768
2025-05-15,Borno,Beans (red),2884.0673333333334,1774.9977
2025-05-15,Borno,Oranges,317.2885714285714,389.49615
2025-05-15,Borno,Rice (local),3906.514705882353,2386.0183
2025-05-15,Borno,Tomatoes,250.828,401.63293
2025-05-15,Borno,Yam,3462.5190909090907,2906.5925
2025-05-15,Yobe,Beans (red),2766.482857142857,1786.884
2025-05-15,Yobe,Oranges,392.8571428571428,451.986
2025-05-15,Yobe,Rice (local),3361.4557142857143,1953.9036
2025-05-15,Yobe,Tomatoes,357.1428571428572,624.7753
2025-05-15,Yobe,Yam,3906.48125,2900.9414
2025-06-15,Borno,Beans (red),2694.071,1781.7117
2025-06-15,Borno,Oranges,333.8972727272727,406.47668
2025-06-15,Borno,Rice (local),3664.708181818182,2017.7866
2025-06-15,Borno,Tomatoes,295.7077777777778,480.60114
2025-06-15,Borno,Yam,2960.9255555555555,2709.8862
2025-06-15,Yobe,Beans (red),2822.213333333333,1826.9414
2025-06-15,Yobe,Oranges,406.9666666666667,465.1612
2025-06-15,Yobe,Rice (local),3140.075555555556,1948.5333
2025-06-15,Yobe,Tomatoes,302.2711111111111,452.02283
2025-06-15,Yobe,Yam,4064.1416666666655,2817.9019
2025-07-15,Borno,Beans (red),2755.59,1818.8584
2025-07-15,Borno,Oranges,367.4383333333333,454.49313
2025-07-15,Borno,Rice (local),3736.8016666666663,2086.9531
2025-07-15,Borno,Tomatoes,328.125,481.35382
2025-07-15,Borno,Yam,3865.164285714286,2885.1384
2025-07-15,Yobe,Beans (red),2741.3583333333336,1816.7278
2025-07-15,Yobe,Oranges,405.2125,435.2626
2025-07-15,Yobe,Rice (local),2844.204,1902.0895
2025-07-15,Yobe,Tomatoes,379.6283333333333,665.3693
2025-07-15,Yobe,Yam,4055.87,2652.8105
2025-08-15,Borno,Beans (red),2671.498181818182,1811.7267
2025-08-15,Borno,Oranges,368.6036363636363,482.3533
2025-08-15,Borno,Rice (local),3251.5,1962.1198
2025-08-15,Borno,Tomatoes,336.45875,494.27518
2025-08-15,Borno,Yam,3490.45625,2819.8525
2025-08-15,Yobe,Beans (red),2465.145,1755.9973
2025-08-15,Yobe,Oranges,410.0,454.2579
2025-08-15,Yobe,Rice (local),2651.785714285714,1914.8513
2025-08-15,Yobe,Tomatoes,302.5,445.72852
2025-08-15,Yobe,Yam,3766.668,2829.372
2025-09-15,Adamawa,Beans (red),3000.0,2044.7772
2025-09-15,Adamawa,Oranges,500.0,694.157
2025-09-15,Adamawa,Yam,1500.0,1861.815
2025-09-15,Borno,Beans (red),2426.63,1725.1046
2025-09-15,Borno,Oranges,344.59666666666664,424.58133
2025-09-15,Borno,Rice (local),3189.9109090909087,1950.3942
2025-09-15,Borno,Tomatoes,261.4153846153846,399.05704
2025-09-15,Borno,Yam,3155.259230769231,2891.843
2025-09-15,Yobe,Beans (red),2306.26,1739.1633
2025-09-15,Yobe,Oranges,387.478,460.47153
2025-09-15,Yobe,Rice (local),2669.9985714285717,1920.0712
2025-09-15,Yobe,Tomatoes,273.8625,399.7328
2025-09-15,Yobe,Yam,3300.87875,2839.6938
2025-10-15,Adamawa,Beans (red),2000.0,1789.985
2025-10-15,Adamawa,Oranges,500.0,627.6991
2025-10-15,Adamawa,Rice (local),2316.6666666666665,2156.8281
2025-10-15,Adamawa,Yam,2684.21,2367.3447
2025-10-15,Borno,Beans (red),2486.8292857142856,1857.0111
2025-10-15,Borno,Oranges,343.555625,409.27835
2025-10-15,Borno,Rice (local),2947.0675,1959.786
2025-10-15,Borno,Tomatoes,245.4353846153846,406.17944
2025-10-15,Borno,Yam,3222.6207142857143,2827.915
2025-10-15,Yobe,Beans (red),1955.297142857143,1625.901
2025-10-15,Yobe,Oranges,396.6857142857143,459.91003
2025-10-15,Yobe,Rice (local),2395.4125,1933.0383
2025-10-15,Yobe,Tomatoes,221.40142857142857,346.62674
2025-10-15,Yobe,Yam,2791.266666666667,2704.4849
2025-11-15,Adamawa,Beans (red),2000.0,1781.121
2025-11-15,Adamawa,Oranges,400.0,558.94824
2025-11-15,Adamawa,Rice (local),1975.0,1981.8024
2025-11-15,Adamawa,Yam,3250.0,2908.593
2025-11-15,Borno,Beans (red),2361.1111111111118,1809.8168
2025-11-15,Borno,Oranges,375.0,453.22913
2025-11-15,Borno,Rice (local),2755.555555555556,2002.8773
2025-11-15,Borno,Tomatoes,289.2857142857143,422.52634
2025-11-15,Borno,Yam,2625.0,2548.0293
2025-11-15,Yobe,Beans (red),1800.0,1653.1602
2025-11-15,Yobe,Oranges,416.6666666666667,486.7497
2025-11-15,Yobe,Rice (local),2325.0,1921.3678
2025-11-15,Yobe,Tomatoes,295.0,479.64752
2025-11-15,Yobe,Yam,2625.0,2547.5105
